name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Carriage House in Wicker Park,West Town,Entire home/apt,1.0,1.0,4,2,114.0,0,158,92.0,41.90669000000001,-87.68283000000002,1
"Unique, Handcrafted Art Gallery Condo in River West Chicago",West Town,Entire home/apt,3.0,2.0,8,1,128.0,350,383,98.0,41.89648,-87.65651,1
Old school Chicago apartment,Near West Side,Private room,1.0,1.0,2,1,81.0,171,51,95.0,41.86756,-87.68661999999998,1
2nd bedroom for rent,Lake View,Private room,1.0,1.0,1,1,113.0,263,16,100.0,41.93501,-87.64819,0
Conveniently Located!,Portage Park,Private room,1.0,1.0,8,2,175.0,0,67,100.0,41.96703,-87.75086999999998,0
Art studio + house in one,Lower West Side,Private room,1.0,1.0,2,30,60.0,90,128,95.0,41.85105,-87.67942,1
Cozy Garden-Subterranean Apartment,Lincoln Square,Entire home/apt,1.0,1.0,2,2,76.0,162,180,94.0,41.96293,-87.69358000000003,0
Vintage Apartment in the Heart of the Ukrainian Village,West Town,Entire home/apt,1.0,1.5,4,5,119.0,49,156,97.0,41.90006,-87.68096,1
Entire Condo near Univ. of Chicago,Kenwood,Entire home/apt,1.0,1.0,4,3,60.0,49,18,91.0,41.81207,-87.60417,0
The Green Room In Andersonville,Uptown,Private room,1.0,1.5,2,2,49.0,365,291,97.0,41.97487,-87.67027,1
"Clean, Quiet, Private Room with private bathroom",East Garfield Park,Private room,1.0,1.0,2,7,23.0,0,129,95.0,41.88342,-87.69618,1
"Warm Cozy Guest Suite, Private Bath",Washington Park,Private room,1.0,1.5,2,2,80.0,364,82,95.0,41.79599,-87.62355,0
Private room near Downtown,Lower West Side,Private room,1.0,1.0,2,2,65.0,89,220,98.0,41.8579,-87.65104000000002,0
Next to McCormick Desk WIFI w/ KING BED +Laundry,Near South Side,Entire home/apt,1.0,1.0,3,60,120.0,365,16,98.0,41.8537,-87.62338000000003,1
Prime Wicker Park spot+big apartment+free parking,West Town,Entire home/apt,1.0,1.0,2,40,93.0,32,20,100.0,41.90772,-87.68121,0
Cozy Single-Family Home near University of Chicago,Hyde Park,Entire home/apt,3.0,1.5,6,1,125.0,0,104,99.0,41.78977,-87.58915999999998,1
"11 Beds in 5*House TRAIN,CUBS, BEACH.RIVERA ARAGON",Uptown,Entire home/apt,5.0,2.5,16,2,875.0,0,124,97.0,41.96821,-87.65626,0
